Handle,Title,Body HTML,Vendor,Type,Tags,Status,Published,Variant SKU,Variant Price,Variant Barcode,Variant Grams,Variant Weight Unit,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Collection,Metafield: custom.short_description [single_line_text_field],Metafield: custom.goal [single_line_text_field],Metafield: custom.flavor [single_line_text_field],Metafield: custom.format [single_line_text_field],Metafield: custom.preorder_status [single_line_text_field],Metafield: custom.preorder_ship_window [single_line_text_field],Metafield: custom.serving_count [single_line_text_field],Metafield: custom.how_to_use [multi_line_text_field],Metafield: custom.ingredients [multi_line_text_field],Metafield: custom.supplement_facts [multi_line_text_field],Metafield: custom.warnings_allergens [multi_line_text_field],Metafield: custom.format_details [multi_line_text_field],Metafield: custom.also_available_handle [single_line_text_field],Metafield: custom.also_available_label [single_line_text_field]
collagen-mixed-berry-pouch,Collagen — Mixed Berry Pouch,"<p>A bright mixed-berry collagen ritual made for women who want beauty-focused wellness to feel easy and enjoyable.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/collagen-mixed-berry-sachet"">Collagen — Mixed Berry Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Mixed Berry</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Collagen,"Pre-Order, Pouch, Mixed Berry, Collagen, Beauty & Collagen",Active,TRUE,REU-COL-MB-POUCH,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/01-collagen-mixed-berry-pouch.jpg,1,REÚ Collagen — Mixed Berry Pouch,Collagen — Mixed Berry Pouch | REÚ,Pre-order REÚ Collagen — Mixed Berry in pouch format. Live Better. Every Day.,Pouch Collection,A bright mixed-berry collagen ritual made for everyday beauty-focused wellness.,Beauty & Collagen,Mixed Berry,Pouch,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Mixed Berry. Format: Pouch.,collagen-mixed-berry-sachet,Also available as Collagen — Mixed Berry Sachet
collagen-mixed-berry-sachet,Collagen — Mixed Berry Sachet,"<p>A bright mixed-berry collagen ritual made for women who want beauty-focused wellness to feel easy and enjoyable.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/collagen-mixed-berry-pouch"">Collagen — Mixed Berry Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Mixed Berry</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Collagen,"Pre-Order, Sachet, Mixed Berry, Collagen, Beauty & Collagen",Active,TRUE,REU-COL-MB-SACHET,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/01-collagen-mixed-berry-sachet.jpg,1,REÚ Collagen — Mixed Berry Sachet,Collagen — Mixed Berry Sachet | REÚ,Pre-order REÚ Collagen — Mixed Berry in sachet format. Live Better. Every Day.,Sachet Collection,A bright mixed-berry collagen ritual made for everyday beauty-focused wellness.,Beauty & Collagen,Mixed Berry,Sachet,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Mixed Berry. Format: Sachet.,collagen-mixed-berry-pouch,Also available as Collagen — Mixed Berry Pouch
hydration-electrolytes-lemon-lime-pouch,Hydration Electrolytes — Lemon Lime Pouch,"<p>A crisp citrus hydration blend for refreshing support before, during, or after the moments that move you.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-lemon-lime-sachet"">Hydration Electrolytes — Lemon Lime Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Lemon Lime</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Hydration Electrolytes,"Pre-Order, Pouch, Lemon Lime, Hydration Electrolytes, Hydration",Active,TRUE,REU-HYD-LL-POUCH,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/02-hydration-lemon-lime-pouch.jpg,1,REÚ Hydration Electrolytes — Lemon Lime Pouch,Hydration Electrolytes — Lemon Lime Pouch | REÚ,Pre-order REÚ Hydration Electrolytes — Lemon Lime in pouch format. Live Better. Every Day.,Pouch Collection,A crisp citrus hydration blend for refreshing everyday replenishment.,Hydration,Lemon Lime,Pouch,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Lemon Lime. Format: Pouch.,hydration-electrolytes-lemon-lime-sachet,Also available as Hydration Electrolytes — Lemon Lime Sachet
hydration-electrolytes-lemon-lime-sachet,Hydration Electrolytes — Lemon Lime Sachet,"<p>A crisp citrus hydration blend for refreshing support before, during, or after the moments that move you.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-lemon-lime-pouch"">Hydration Electrolytes — Lemon Lime Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Lemon Lime</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Hydration Electrolytes,"Pre-Order, Sachet, Lemon Lime, Hydration Electrolytes, Hydration",Active,TRUE,REU-HYD-LL-SACHET,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/02-hydration-lemon-lime-sachet.jpg,1,REÚ Hydration Electrolytes — Lemon Lime Sachet,Hydration Electrolytes — Lemon Lime Sachet | REÚ,Pre-order REÚ Hydration Electrolytes — Lemon Lime in sachet format. Live Better. Every Day.,Sachet Collection,A crisp citrus hydration blend for refreshing everyday replenishment.,Hydration,Lemon Lime,Sachet,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Lemon Lime. Format: Sachet.,hydration-electrolytes-lemon-lime-pouch,Also available as Hydration Electrolytes — Lemon Lime Pouch
hydration-electrolytes-watermelon-pouch,Hydration Electrolytes — Watermelon Pouch,"<p>A juicy watermelon hydration blend that brings a more enjoyable rhythm to everyday replenishment.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-watermelon-sachet"">Hydration Electrolytes — Watermelon Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Watermelon</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Hydration Electrolytes,"Pre-Order, Pouch, Watermelon, Hydration Electrolytes, Hydration",Active,TRUE,REU-HYD-WM-POUCH,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/03-hydration-watermelon-pouch.jpg,1,REÚ Hydration Electrolytes — Watermelon Pouch,Hydration Electrolytes — Watermelon Pouch | REÚ,Pre-order REÚ Hydration Electrolytes — Watermelon in pouch format. Live Better. Every Day.,Pouch Collection,A juicy watermelon hydration blend for a more enjoyable daily ritual.,Hydration,Watermelon,Pouch,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Watermelon. Format: Pouch.,hydration-electrolytes-watermelon-sachet,Also available as Hydration Electrolytes — Watermelon Sachet
hydration-electrolytes-watermelon-sachet,Hydration Electrolytes — Watermelon Sachet,"<p>A juicy watermelon hydration blend that brings a more enjoyable rhythm to everyday replenishment.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-watermelon-pouch"">Hydration Electrolytes — Watermelon Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Watermelon</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Hydration Electrolytes,"Pre-Order, Sachet, Watermelon, Hydration Electrolytes, Hydration",Active,TRUE,REU-HYD-WM-SACHET,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/03-hydration-watermelon-sachet.jpg,1,REÚ Hydration Electrolytes — Watermelon Sachet,Hydration Electrolytes — Watermelon Sachet | REÚ,Pre-order REÚ Hydration Electrolytes — Watermelon in sachet format. Live Better. Every Day.,Sachet Collection,A juicy watermelon hydration blend for a more enjoyable daily ritual.,Hydration,Watermelon,Sachet,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Watermelon. Format: Sachet.,hydration-electrolytes-watermelon-pouch,Also available as Hydration Electrolytes — Watermelon Pouch
hydration-electrolytes-coconut-pouch,Hydration Electrolytes — Coconut Pouch,"<p>A smooth tropical hydration blend designed for simple, refreshing support wherever your day goes.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-coconut-sachet"">Hydration Electrolytes — Coconut Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Coconut</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Hydration Electrolytes,"Pre-Order, Pouch, Coconut, Hydration Electrolytes, Hydration",Active,TRUE,REU-HYD-CO-POUCH,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/04-hydration-coconut-pouch.jpg,1,REÚ Hydration Electrolytes — Coconut Pouch,Hydration Electrolytes — Coconut Pouch | REÚ,Pre-order REÚ Hydration Electrolytes — Coconut in pouch format. Live Better. Every Day.,Pouch Collection,"A smooth tropical hydration blend designed for simple, refreshing support.",Hydration,Coconut,Pouch,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Coconut. Format: Pouch.,hydration-electrolytes-coconut-sachet,Also available as Hydration Electrolytes — Coconut Sachet
hydration-electrolytes-coconut-sachet,Hydration Electrolytes — Coconut Sachet,"<p>A smooth tropical hydration blend designed for simple, refreshing support wherever your day goes.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-coconut-pouch"">Hydration Electrolytes — Coconut Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Coconut</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Hydration Electrolytes,"Pre-Order, Sachet, Coconut, Hydration Electrolytes, Hydration",Active,TRUE,REU-HYD-CO-SACHET,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/04-hydration-coconut-sachet.jpg,1,REÚ Hydration Electrolytes — Coconut Sachet,Hydration Electrolytes — Coconut Sachet | REÚ,Pre-order REÚ Hydration Electrolytes — Coconut in sachet format. Live Better. Every Day.,Sachet Collection,"A smooth tropical hydration blend designed for simple, refreshing support.",Hydration,Coconut,Sachet,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Coconut. Format: Sachet.,hydration-electrolytes-coconut-pouch,Also available as Hydration Electrolytes — Coconut Pouch
greens-pineapple-pouch,Greens — Pineapple Pouch,"<p>A tropical pineapple greens blend that makes adding a simple green ritual to your day feel brighter.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/greens-pineapple-sachet"">Greens — Pineapple Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Pineapple</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Greens,"Pre-Order, Pouch, Pineapple, Greens, Greens & Nutrition",Active,TRUE,REU-GRN-PI-POUCH,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/05-greens-pineapple-pouch.jpg,1,REÚ Greens — Pineapple Pouch,Greens — Pineapple Pouch | REÚ,Pre-order REÚ Greens — Pineapple in pouch format. Live Better. Every Day.,Pouch Collection,A tropical pineapple greens blend that brightens your daily green ritual.,Greens & Nutrition,Pineapple,Pouch,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Pineapple. Format: Pouch.,greens-pineapple-sachet,Also available as Greens — Pineapple Sachet
greens-pineapple-sachet,Greens — Pineapple Sachet,"<p>A tropical pineapple greens blend that makes adding a simple green ritual to your day feel brighter.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/greens-pineapple-pouch"">Greens — Pineapple Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Pineapple</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Greens,"Pre-Order, Sachet, Pineapple, Greens, Greens & Nutrition",Active,TRUE,REU-GRN-PI-SACHET,0.00,,,g,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/05-greens-pineapple-sachet.jpg,1,REÚ Greens — Pineapple Sachet,Greens — Pineapple Sachet | REÚ,Pre-order REÚ Greens — Pineapple in sachet format. Live Better. Every Day.,Sachet Collection,A tropical pineapple greens blend that brightens your daily green ritual.,Greens & Nutrition,Pineapple,Sachet,Pre-Order,[EDITABLE — confirm estimated shipping date range],[EDITABLE — enter serving count / net quantity],[EDITABLE — paste verified usage directions from product label],[EDITABLE — paste verified ingredients list from supplier documentation],[EDITABLE — paste verified Supplement Facts panel from supplier documentation],[EDITABLE — paste verified allergens and warnings from product label],Flavour: Pineapple. Format: Sachet.,greens-pineapple-pouch,Also available as Greens — Pineapple Pouch
