Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Status,Collection
collagen-mixed-berry-pouch,Collagen — Mixed Berry Pouch,"<p>A bright mixed-berry collagen ritual made for women who want beauty-focused wellness to feel easy and enjoyable.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/collagen-mixed-berry-sachet"">Collagen — Mixed Berry Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Mixed Berry</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Collagen,"Pre-Order, Pouch, Mixed Berry, Collagen, Beauty & Collagen",true,Title,Default Title,REU-COL-MB-POUCH,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/01-collagen-mixed-berry-pouch.jpg,1,REÚ Collagen — Mixed Berry Pouch,false,Collagen — Mixed Berry Pouch | REÚ,Pre-order REÚ Collagen — Mixed Berry in pouch format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/01-collagen-mixed-berry-pouch.jpg,g,,active,Pouch Collection
collagen-mixed-berry-sachet,Collagen — Mixed Berry Sachet,"<p>A bright mixed-berry collagen ritual made for women who want beauty-focused wellness to feel easy and enjoyable.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/collagen-mixed-berry-pouch"">Collagen — Mixed Berry Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Mixed Berry</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Collagen,"Pre-Order, Sachet, Mixed Berry, Collagen, Beauty & Collagen",true,Title,Default Title,REU-COL-MB-SACHET,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/01-collagen-mixed-berry-sachet.jpg,1,REÚ Collagen — Mixed Berry Sachet,false,Collagen — Mixed Berry Sachet | REÚ,Pre-order REÚ Collagen — Mixed Berry in sachet format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/01-collagen-mixed-berry-sachet.jpg,g,,active,Sachet Collection
hydration-electrolytes-lemon-lime-pouch,Hydration Electrolytes — Lemon Lime Pouch,"<p>A crisp citrus hydration blend for refreshing support before, during, or after the moments that move you.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-lemon-lime-sachet"">Hydration Electrolytes — Lemon Lime Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Lemon Lime</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Pouch, Lemon Lime, Hydration Electrolytes, Hydration",true,Title,Default Title,REU-HYD-LL-POUCH,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/02-hydration-lemon-lime-pouch.jpg,1,REÚ Hydration Electrolytes — Lemon Lime Pouch,false,Hydration Electrolytes — Lemon Lime Pouch | REÚ,Pre-order REÚ Hydration Electrolytes — Lemon Lime in pouch format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/02-hydration-lemon-lime-pouch.jpg,g,,active,Pouch Collection
hydration-electrolytes-lemon-lime-sachet,Hydration Electrolytes — Lemon Lime Sachet,"<p>A crisp citrus hydration blend for refreshing support before, during, or after the moments that move you.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-lemon-lime-pouch"">Hydration Electrolytes — Lemon Lime Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Lemon Lime</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Sachet, Lemon Lime, Hydration Electrolytes, Hydration",true,Title,Default Title,REU-HYD-LL-SACHET,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/02-hydration-lemon-lime-sachet.jpg,1,REÚ Hydration Electrolytes — Lemon Lime Sachet,false,Hydration Electrolytes — Lemon Lime Sachet | REÚ,Pre-order REÚ Hydration Electrolytes — Lemon Lime in sachet format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/02-hydration-lemon-lime-sachet.jpg,g,,active,Sachet Collection
hydration-electrolytes-watermelon-pouch,Hydration Electrolytes — Watermelon Pouch,"<p>A juicy watermelon hydration blend that brings a more enjoyable rhythm to everyday replenishment.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-watermelon-sachet"">Hydration Electrolytes — Watermelon Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Watermelon</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Pouch, Watermelon, Hydration Electrolytes, Hydration",true,Title,Default Title,REU-HYD-WM-POUCH,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/03-hydration-watermelon-pouch.jpg,1,REÚ Hydration Electrolytes — Watermelon Pouch,false,Hydration Electrolytes — Watermelon Pouch | REÚ,Pre-order REÚ Hydration Electrolytes — Watermelon in pouch format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/03-hydration-watermelon-pouch.jpg,g,,active,Pouch Collection
hydration-electrolytes-watermelon-sachet,Hydration Electrolytes — Watermelon Sachet,"<p>A juicy watermelon hydration blend that brings a more enjoyable rhythm to everyday replenishment.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-watermelon-pouch"">Hydration Electrolytes — Watermelon Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Watermelon</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Sachet, Watermelon, Hydration Electrolytes, Hydration",true,Title,Default Title,REU-HYD-WM-SACHET,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/03-hydration-watermelon-sachet.jpg,1,REÚ Hydration Electrolytes — Watermelon Sachet,false,Hydration Electrolytes — Watermelon Sachet | REÚ,Pre-order REÚ Hydration Electrolytes — Watermelon in sachet format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/03-hydration-watermelon-sachet.jpg,g,,active,Sachet Collection
hydration-electrolytes-coconut-pouch,Hydration Electrolytes — Coconut Pouch,"<p>A smooth tropical hydration blend designed for simple, refreshing support wherever your day goes.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-coconut-sachet"">Hydration Electrolytes — Coconut Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Coconut</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Pouch, Coconut, Hydration Electrolytes, Hydration",true,Title,Default Title,REU-HYD-CO-POUCH,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/04-hydration-coconut-pouch.jpg,1,REÚ Hydration Electrolytes — Coconut Pouch,false,Hydration Electrolytes — Coconut Pouch | REÚ,Pre-order REÚ Hydration Electrolytes — Coconut in pouch format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/04-hydration-coconut-pouch.jpg,g,,active,Pouch Collection
hydration-electrolytes-coconut-sachet,Hydration Electrolytes — Coconut Sachet,"<p>A smooth tropical hydration blend designed for simple, refreshing support wherever your day goes.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/hydration-electrolytes-coconut-pouch"">Hydration Electrolytes — Coconut Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Coconut</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Sachet, Coconut, Hydration Electrolytes, Hydration",true,Title,Default Title,REU-HYD-CO-SACHET,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/04-hydration-coconut-sachet.jpg,1,REÚ Hydration Electrolytes — Coconut Sachet,false,Hydration Electrolytes — Coconut Sachet | REÚ,Pre-order REÚ Hydration Electrolytes — Coconut in sachet format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/04-hydration-coconut-sachet.jpg,g,,active,Sachet Collection
greens-pineapple-pouch,Greens — Pineapple Pouch,"<p>A tropical pineapple greens blend that makes adding a simple green ritual to your day feel brighter.</p>
<p>Full-size pouch format for a consistent at-home routine.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/greens-pineapple-sachet"">Greens — Pineapple Sachet</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Pineapple</li>
<li><strong>Format:</strong> Pouch</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Greens,"Pre-Order, Pouch, Pineapple, Greens, Greens & Nutrition",true,Title,Default Title,REU-GRN-PI-POUCH,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/05-greens-pineapple-pouch.jpg,1,REÚ Greens — Pineapple Pouch,false,Greens — Pineapple Pouch | REÚ,Pre-order REÚ Greens — Pineapple in pouch format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/05-greens-pineapple-pouch.jpg,g,,active,Pouch Collection
greens-pineapple-sachet,Greens — Pineapple Sachet,"<p>A tropical pineapple greens blend that makes adding a simple green ritual to your day feel brighter.</p>
<p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>
<p><strong>Also Available in Another Format:</strong> <a href=""/products/greens-pineapple-pouch"">Greens — Pineapple Pouch</a></p>
<hr>
<p><em>Fields below are editable placeholders. Replace each marked line with verified supplier/label data before publishing. Do not publish invented values.</em></p>
<ul>
<li><strong>Price:</strong> [EDITABLE — enter confirmed price]</li>
<li><strong>Barcode:</strong> [EDITABLE — enter barcode when available]</li>
<li><strong>Shipping weight (g):</strong> [EDITABLE — enter shipping weight in grams]</li>
<li><strong>Serving count / quantity:</strong> [EDITABLE — enter serving count / net quantity]</li>
<li><strong>Flavour:</strong> Pineapple</li>
<li><strong>Format:</strong> Sachet</li>
<li><strong>Pre-order status:</strong> Pre-Order</li>
<li><strong>Estimated shipping date:</strong> [EDITABLE — confirm estimated shipping date range]</li>
<li><strong>Ingredients:</strong> [EDITABLE — paste verified ingredients list from supplier documentation]</li>
<li><strong>Supplement Facts:</strong> [EDITABLE — paste verified Supplement Facts panel from supplier documentation]</li>
<li><strong>Usage directions:</strong> [EDITABLE — paste verified usage directions from product label]</li>
<li><strong>Allergens and warnings:</strong> [EDITABLE — paste verified allergens and warnings from product label]</li>
</ul>
<p><em>These statements have not been evaluated by the FDA. This product is not intended to diagnose, treat, cure, or prevent any disease. Always follow the product label.</em></p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Greens,"Pre-Order, Sachet, Pineapple, Greens, Greens & Nutrition",true,Title,Default Title,REU-GRN-PI-SACHET,,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/05-greens-pineapple-sachet.jpg,1,REÚ Greens — Pineapple Sachet,false,Greens — Pineapple Sachet | REÚ,Pre-order REÚ Greens — Pineapple in sachet format. Live Better. Every Day.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/05-greens-pineapple-sachet.jpg,g,,active,Sachet Collection
