Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Cost per item,Status,Collection
collagen-mixed-berry-pouch,Collagen — Mixed Berry Pouch,<p>A bright mixed-berry collagen ritual made for women who want beauty-focused wellness to feel easy and enjoyable.</p><p>Full-size pouch format for a consistent at-home routine.</p>,REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Collagen,"Pre-Order, Pouch, Mixed Berry, Collagen",false,Title,Default Title,,,,,REU-COL-MB-POUCH,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/01-collagen-mixed-berry-pouch.jpg,1,REÚ Collagen — Mixed Berry Pouch,false,Collagen — Mixed Berry Pouch | REÚ,Pre-order REÚ Collagen — Mixed Berry in a full-size pouch.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/01-collagen-mixed-berry-pouch.jpg,g,,draft,Pouch Collection
collagen-mixed-berry-sachet,Collagen — Mixed Berry Sachet,"<p>A bright mixed-berry collagen ritual made for women who want beauty-focused wellness to feel easy and enjoyable.</p><p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Collagen,"Pre-Order, Sachet, Mixed Berry, Collagen",false,Title,Default Title,,,,,REU-COL-MB-SACHET,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/01-collagen-mixed-berry-sachet.jpg,1,REÚ Collagen — Mixed Berry Sachet,false,Collagen — Mixed Berry Sachet | REÚ,Pre-order REÚ Collagen — Mixed Berry in a convenient single-serve sachet.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/01-collagen-mixed-berry-sachet.jpg,g,,draft,Sachet Collection
hydration-electrolytes-lemon-lime-pouch,Hydration Electrolytes — Lemon Lime Pouch,"<p>A crisp citrus hydration blend for refreshing support before, during, or after the moments that move you.</p><p>Full-size pouch format for a consistent at-home routine.</p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Pouch, Lemon Lime, Hydration Electrolytes",false,Title,Default Title,,,,,REU-HYD-LL-POUCH,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/02-hydration-lemon-lime-pouch.jpg,1,REÚ Hydration Electrolytes — Lemon Lime Pouch,false,Hydration Electrolytes — Lemon Lime Pouch | REÚ,Pre-order REÚ Hydration Electrolytes — Lemon Lime in a full-size pouch.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/02-hydration-lemon-lime-pouch.jpg,g,,draft,Pouch Collection
hydration-electrolytes-lemon-lime-sachet,Hydration Electrolytes — Lemon Lime Sachet,"<p>A crisp citrus hydration blend for refreshing support before, during, or after the moments that move you.</p><p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Sachet, Lemon Lime, Hydration Electrolytes",false,Title,Default Title,,,,,REU-HYD-LL-SACHET,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/02-hydration-lemon-lime-sachet.jpg,1,REÚ Hydration Electrolytes — Lemon Lime Sachet,false,Hydration Electrolytes — Lemon Lime Sachet | REÚ,Pre-order REÚ Hydration Electrolytes — Lemon Lime in a convenient single-serve sachet.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/02-hydration-lemon-lime-sachet.jpg,g,,draft,Sachet Collection
hydration-electrolytes-watermelon-pouch,Hydration Electrolytes — Watermelon Pouch,<p>A juicy watermelon hydration blend that brings a more enjoyable rhythm to everyday replenishment.</p><p>Full-size pouch format for a consistent at-home routine.</p>,REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Pouch, Watermelon, Hydration Electrolytes",false,Title,Default Title,,,,,REU-HYD-WM-POUCH,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/03-hydration-watermelon-pouch.jpg,1,REÚ Hydration Electrolytes — Watermelon Pouch,false,Hydration Electrolytes — Watermelon Pouch | REÚ,Pre-order REÚ Hydration Electrolytes — Watermelon in a full-size pouch.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/03-hydration-watermelon-pouch.jpg,g,,draft,Pouch Collection
hydration-electrolytes-watermelon-sachet,Hydration Electrolytes — Watermelon Sachet,"<p>A juicy watermelon hydration blend that brings a more enjoyable rhythm to everyday replenishment.</p><p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Sachet, Watermelon, Hydration Electrolytes",false,Title,Default Title,,,,,REU-HYD-WM-SACHET,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/03-hydration-watermelon-sachet.jpg,1,REÚ Hydration Electrolytes — Watermelon Sachet,false,Hydration Electrolytes — Watermelon Sachet | REÚ,Pre-order REÚ Hydration Electrolytes — Watermelon in a convenient single-serve sachet.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/03-hydration-watermelon-sachet.jpg,g,,draft,Sachet Collection
hydration-electrolytes-coconut-pouch,Hydration Electrolytes — Coconut Pouch,"<p>A smooth tropical hydration blend designed for simple, refreshing support wherever your day goes.</p><p>Full-size pouch format for a consistent at-home routine.</p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Pouch, Coconut, Hydration Electrolytes",false,Title,Default Title,,,,,REU-HYD-CO-POUCH,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/04-hydration-coconut-pouch.jpg,1,REÚ Hydration Electrolytes — Coconut Pouch,false,Hydration Electrolytes — Coconut Pouch | REÚ,Pre-order REÚ Hydration Electrolytes — Coconut in a full-size pouch.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/04-hydration-coconut-pouch.jpg,g,,draft,Pouch Collection
hydration-electrolytes-coconut-sachet,Hydration Electrolytes — Coconut Sachet,"<p>A smooth tropical hydration blend designed for simple, refreshing support wherever your day goes.</p><p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Hydration Electrolytes,"Pre-Order, Sachet, Coconut, Hydration Electrolytes",false,Title,Default Title,,,,,REU-HYD-CO-SACHET,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/04-hydration-coconut-sachet.jpg,1,REÚ Hydration Electrolytes — Coconut Sachet,false,Hydration Electrolytes — Coconut Sachet | REÚ,Pre-order REÚ Hydration Electrolytes — Coconut in a convenient single-serve sachet.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/04-hydration-coconut-sachet.jpg,g,,draft,Sachet Collection
greens-pineapple-pouch,Greens — Pineapple Pouch,<p>A tropical pineapple greens blend that makes adding a simple green ritual to your day feel brighter.</p><p>Full-size pouch format for a consistent at-home routine.</p>,REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Greens,"Pre-Order, Pouch, Pineapple, Greens",false,Title,Default Title,,,,,REU-GRN-PI-POUCH,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/05-greens-pineapple-pouch.jpg,1,REÚ Greens — Pineapple Pouch,false,Greens — Pineapple Pouch | REÚ,Pre-order REÚ Greens — Pineapple in a full-size pouch.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/pouch/05-greens-pineapple-pouch.jpg,g,,draft,Pouch Collection
greens-pineapple-sachet,Greens — Pineapple Sachet,"<p>A tropical pineapple greens blend that makes adding a simple green ritual to your day feel brighter.</p><p>Single-serve sachet format for work, travel, gym bags, and busy days.</p>",REÚ,Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements,Greens,"Pre-Order, Sachet, Pineapple, Greens",false,Title,Default Title,,,,,REU-GRN-PI-SACHET,0,,,continue,manual,0.00,,true,true,,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/05-greens-pineapple-sachet.jpg,1,REÚ Greens — Pineapple Sachet,false,Greens — Pineapple Sachet | REÚ,Pre-order REÚ Greens — Pineapple in a convenient single-serve sachet.,https://raw.githubusercontent.com/universalmailgo786-ctrl/REUShopifywebsite/main/product-images/sachet/05-greens-pineapple-sachet.jpg,g,,draft,Sachet Collection
